Status: HighsModelStatus.kOptimal
I_1_2_1_1_3 -0.0
I_1_2_1_2_0 0.0
I_1_2_1_2_1 -0.0
I_1_2_1_2_2 -0.0
I_1_2_1_2_3 -0.0
I_1_2_2_0_0 1.0
I_1_2_2_0_1 -0.0
I_1_2_2_0_2 -0.0
I_1_2_2_0_3 -0.0
I_1_2_2_1_0 -0.0
I_1_2_2_1_1 -0.0
I_1_2_2_1_2 -0.0
I_1_2_2_1_3 -0.0
I_1_2_2_2_0 -0.0
I_1_2_2_2_1 -0.0
I_1_2_2_2_2 -0.0
I_1_2_2_2_3 -0.0
I_1_3_0_0_0 0.0
I_1_3_0_0_1 -0.0
I_1_3_0_0_2 -0.0
I_1_3_0_0_3 -0.0
I_1_3_0_1_0 0.0
I_1_3_0_1_1 1.0
I_1_3_0_1_2 -0.0
I_1_3_0_1_3 -0.0
I_1_3_0_2_0 0.0
I_1_3_0_2_1 1.0
I_1_3_0_2_2 -0.0
I_1_3_0_2_3 -0.0
I_1_3_1_0_0 0.0
I_1_3_1_0_1 1.0
I_1_3_1_0_2 -0.0
I_1_3_1_0_3 -0.0
I_1_3_1_1_0 0.0
I_1_3_1_1_1 -0.0
I_1_3_1_1_2 -0.0
I_1_3_1_1_3 -0.0
I_1_3_1_2_0 0.0
I_1_3_1_2_1 -0.0
I_1_3_1_2_2 -0.0
I_1_3_1_2_3 -0.0
I_1_3_2_0_0 0.0
I_1_3_2_0_1 1.0
I_1_3_2_0_2 -0.0
I_1_3_2_0_3 -0.0
I_1_3_2_1_0 0.0
I_1_3_2_1_1 -0.0
I_1_3_2_1_2 -0.0
I_1_3_2_1_3 -0.0
I_1_3_2_2_0 0.0
I_1_3_2_2_1 0.0
I_1_3_2_2_2 -0.0
I_1_3_2_2_3 -0.0
I_1_4_0_0_0 1.0
I_1_4_0_0_1 1.0
I_1_4_0_0_2 -0.0
I_1_4_0_0_3 -0.0
I_1_4_0_1_0 -0.0
I_1_4_0_1_1 -0.0
I_1_4_0_1_2 -0.0
I_1_4_0_1_3 -0.0
I_1_4_0_2_0 -0.0
I_1_4_0_2_1 1.0
I_1_4_0_2_2 -0.0
I_1_4_0_2_3 -0.0
I_1_4_1_0_0 1.0
I_1_4_1_0_1 -0.0
I_1_4_1_0_2 -0.0
I_1_4_1_0_3 -0.0
I_1_4_1_1_0 -0.0
I_1_4_1_1_1 1.0
I_1_4_1_1_2 -0.0
I_1_4_1_1_3 -0.0
I_1_4_1_2_0 -0.0
I_1_4_1_2_1 -0.0
I_1_4_1_2_2 -0.0
I_1_4_1_2_3 -0.0
I_1_4_2_0_0 1.0
I_1_4_2_0_1 -0.0
I_1_4_2_0_2 -0.0
I_1_4_2_0_3 -0.0
I_1_4_2_1_0 -0.0
I_1_4_2_1_1 1.0
I_1_4_2_1_2 -0.0
I_1_4_2_1_3 -0.0
I_1_4_2_2_0 -0.0
I_1_4_2_2_1 -0.0
I_1_4_2_2_2 -0.0
I_1_4_2_2_3 -0.0
I_1_5_0_0_0 0.0
I_1_5_0_0_1 -0.0
I_1_5_0_0_2 -0.0
I_1_5_0_0_3 -0.0
I_1_5_0_1_0 0.0
I_1_5_0_1_1 1.0
I_1_5_0_1_2 -0.0
I_1_5_0_1_3 -0.0
I_1_5_0_2_0 0.0
I_1_5_0_2_1 1.0
I_1_5_0_2_2 -0.0
I_1_5_0_2_3 -0.0
I_1_5_1_0_0 0.0
I_1_5_1_0_1 1.0
I_1_5_1_0_2 -0.0
I_1_5_1_0_3 -0.0
I_1_5_1_1_0 0.0
I_1_5_1_1_1 -0.0
I_1_5_1_1_2 -0.0
I_1_5_1_1_3 -0.0
I_1_5_1_2_0 0.0
I_1_5_1_2_1 -0.0
I_1_5_1_2_2 -0.0
I_1_5_1_2_3 -0.0
I_1_5_2_0_0 0.0
I_1_5_2_0_1 1.0
I_1_5_2_0_2 -0.0
I_1_5_2_0_3 -0.0
I_1_5_2_1_0 0.0
I_1_5_2_1_1 -0.0
I_1_5_2_1_2 -0.0
I_1_5_2_1_3 -0.0
I_1_5_2_2_0 0.0
I_1_5_2_2_1 -0.0
I_1_5_2_2_2 -0.0
I_1_5_2_2_3 -0.0
I_2_0_0_0_0 -0.0
I_2_0_0_0_1 -0.0
I_2_0_0_0_2 -0.0
I_2_0_0_0_3 -0.0
I_2_0_0_1_0 1.0
I_2_0_0_1_1 -0.0
I_2_0_0_1_2 -0.0
I_2_0_0_1_3 -0.0
I_2_0_0_2_0 1.0
I_2_0_0_2_1 -0.0
I_2_0_0_2_2 -0.0
I_2_0_0_2_3 -0.0
I_2_0_1_0_0 1.0
I_2_0_1_0_1 -0.0
I_2_0_1_0_2 -0.0
I_2_0_1_0_3 -0.0
I_2_0_1_1_0 -0.0
I_2_0_1_1_1 -0.0
I_2_0_1_1_2 -0.0
I_2_0_1_1_3 -0.0
I_2_0_1_2_0 -0.0
I_2_0_1_2_1 -0.0
I_2_0_1_2_2 -0.0
I_2_0_1_2_3 -0.0
I_2_0_2_0_0 1.0
I_2_0_2_0_1 -0.0
I_2_0_2_0_2 -0.0
I_2_0_2_0_3 -0.0
I_2_0_2_1_0 -0.0
I_2_0_2_1_1 -0.0
I_2_0_2_1_2 -0.0
I_2_0_2_1_3 -0.0
I_2_0_2_2_0 -0.0
I_2_0_2_2_1 -0.0
I_2_0_2_2_2 -0.0
I_2_0_2_2_3 0.0
I_2_1_0_0_0 1.0
I_2_1_0_0_1 1.0
I_2_1_0_0_2 -0.0
I_2_1_0_0_3 -0.0
I_2_1_0_1_0 1.0
I_2_1_0_1_1 -0.0
I_2_1_0_1_2 -0.0
I_2_1_0_1_3 -0.0
I_2_1_0_2_0 1.0
I_2_1_0_2_1 -0.0
I_2_1_0_2_2 -0.0
I_2_1_0_2_3 -0.0
I_2_1_1_0_0 -0.0
I_2_1_1_0_1 1.0
I_2_1_1_0_2 -0.0
I_2_1_1_0_3 -0.0
I_2_1_1_1_0 -0.0
I_2_1_1_1_1 -0.0
I_2_1_1_1_2 -0.0
I_2_1_1_1_3 -0.0
I_2_1_1_2_0 -0.0
I_2_1_1_2_1 -0.0
I_2_1_1_2_2 -0.0
I_2_1_1_2_3 -0.0
I_2_1_2_0_0 -0.0
I_2_1_2_0_1 1.0
I_2_1_2_0_2 -0.0
I_2_1_2_0_3 -0.0
I_2_1_2_1_0 -0.0
I_2_1_2_1_1 -0.0
I_2_1_2_1_2 -0.0
I_2_1_2_1_3 -0.0
I_2_1_2_2_0 -0.0
I_2_1_2_2_1 -0.0
I_2_1_2_2_2 -0.0
I_2_1_2_2_3 -0.0
I_2_3_0_0_0 1.0
I_2_3_0_0_1 1.0
I_2_3_0_0_2 -0.0
I_2_3_0_0_3 -0.0
I_2_3_0_1_0 1.0
I_2_3_0_1_1 -0.0
I_2_3_0_1_2 -0.0
I_2_3_0_1_3 -0.0
I_2_3_0_2_0 1.0
I_2_3_0_2_1 -0.0
I_2_3_0_2_2 -0.0
I_2_3_0_2_3 -0.0
I_2_3_1_0_0 0.0
I_2_3_1_0_1 1.0
I_2_3_1_0_2 -0.0
I_2_3_1_0_3 -0.0
I_2_3_1_1_0 0.0
I_2_3_1_1_1 -0.0
I_2_3_1_1_2 -0.0
I_2_3_1_1_3 -0.0
I_2_3_1_2_0 0.0
I_2_3_1_2_1 -0.0
I_2_3_1_2_2 -0.0
I_2_3_1_2_3 -0.0
I_2_3_2_0_0 -0.0
I_2_3_2_0_1 1.0
I_2_3_2_0_2 -0.0
I_2_3_2_0_3 -0.0
I_2_3_2_1_0 -0.0
I_2_3_2_1_1 -0.0
I_2_3_2_1_2 -0.0
I_2_3_2_1_3 -0.0
I_2_3_2_2_0 -0.0
I_2_3_2_2_1 -0.0
I_2_3_2_2_2 -0.0
I_2_3_2_2_3 -0.0
I_2_4_0_0_0 -0.0
I_2_4_0_0_1 -0.0
I_2_4_0_0_2 -0.0
I_2_4_0_0_3 -0.0
I_2_4_0_1_0 1.0
I_2_4_0_1_1 1.0
I_2_4_0_1_2 -0.0
I_2_4_0_1_3 -0.0
I_2_4_0_2_0 1.0
I_2_4_0_2_1 -0.0
I_2_4_0_2_2 -0.0
I_2_4_0_2_3 -0.0
I_2_4_1_0_0 1.0
I_2_4_1_0_1 -0.0
I_2_4_1_0_2 -0.0
I_2_4_1_0_3 -0.0
I_2_4_1_1_0 0.0
I_2_4_1_1_1 1.0
I_2_4_1_1_2 -0.0
I_2_4_1_1_3 -0.0
I_2_4_1_2_0 0.0
I_2_4_1_2_1 -0.0
I_2_4_1_2_2 -0.0
I_2_4_1_2_3 -0.0
I_2_4_2_0_0 1.0
I_2_4_2_0_1 -0.0
I_2_4_2_0_2 -0.0
I_2_4_2_0_3 -0.0
I_2_4_2_1_0 -0.0
I_2_4_2_1_1 1.0
I_2_4_2_1_2 -0.0
I_2_4_2_1_3 -0.0
I_2_4_2_2_0 -0.0
I_2_4_2_2_1 -0.0
I_2_4_2_2_2 -0.0
I_2_4_2_2_3 -0.0
I_2_5_0_0_0 1.0
I_2_5_0_0_1 1.0
I_2_5_0_0_2 -0.0
I_2_5_0_0_3 -0.0
I_2_5_0_1_0 1.0
I_2_5_0_1_1 -0.0
I_2_5_0_1_2 -0.0
I_2_5_0_1_3 -0.0
I_2_5_0_2_0 1.0
I_2_5_0_2_1 -0.0
I_2_5_0_2_2 -0.0
I_2_5_0_2_3 -0.0
I_2_5_1_0_0 0.0
I_2_5_1_0_1 1.0
I_2_5_1_0_2 -0.0
I_2_5_1_0_3 -0.0
I_2_5_1_1_0 0.0
I_2_5_1_1_1 -0.0
I_2_5_1_1_2 -0.0
I_2_5_1_1_3 -0.0
I_2_5_1_2_0 0.0
I_2_5_1_2_1 -0.0
I_2_5_1_2_2 -0.0
I_2_5_1_2_3 -0.0
I_2_5_2_0_0 -0.0
I_2_5_2_0_1 1.0
I_2_5_2_0_2 -0.0
I_2_5_2_0_3 -0.0
I_2_5_2_1_0 -0.0
I_2_5_2_1_1 -0.0
I_2_5_2_1_2 -0.0
I_2_5_2_1_3 -0.0
I_2_5_2_2_0 0.0
I_2_5_2_2_1 -0.0
I_2_5_2_2_2 -0.0
I_2_5_2_2_3 -0.0
I_3_0_0_0_0 1.0
I_3_0_0_0_1 1.0
I_3_0_0_0_2 -0.0
I_3_0_0_0_3 -0.0
I_3_0_0_1_0 0.0
I_3_0_0_1_1 1.0
I_3_0_0_1_2 -0.0
I_3_0_0_1_3 -0.0
I_3_0_0_2_0 0.0
I_3_0_0_2_1 1.0
I_3_0_0_2_2 -0.0
I_3_0_0_2_3 -0.0
I_3_0_1_0_0 1.0
I_3_0_1_0_1 -0.0
I_3_0_1_0_2 -0.0
I_3_0_1_0_3 -0.0
I_3_0_1_1_0 0.0
I_3_0_1_1_1 -0.0
I_3_0_1_1_2 -0.0
I_3_0_1_1_3 -0.0
I_3_0_1_2_0 0.0
I_3_0_1_2_1 -0.0
I_3_0_1_2_2 -0.0
I_3_0_1_2_3 -0.0
I_3_0_2_0_0 1.0
I_3_0_2_0_1 -0.0
I_3_0_2_0_2 -0.0
I_3_0_2_0_3 -0.0
I_3_0_2_1_0 0.0
I_3_0_2_1_1 -0.0
I_3_0_2_1_2 -0.0
I_3_0_2_1_3 -0.0
I_3_0_2_2_0 0.0
I_3_0_2_2_1 -0.0
I_3_0_2_2_2 -0.0
I_3_0_2_2_3 0.0
I_3_1_0_0_0 0.0
I_3_1_0_0_1 -0.0
I_3_1_0_0_2 -0.0
I_3_1_0_0_3 -0.0
I_3_1_0_1_0 0.0
I_3_1_0_1_1 1.0
I_3_1_0_1_2 -0.0
I_3_1_0_1_3 -0.0
I_3_1_0_2_0 0.0
I_3_1_0_2_1 1.0
I_3_1_0_2_2 -0.0
I_3_1_0_2_3 -0.0
I_3_1_1_0_0 0.0
I_3_1_1_0_1 1.0
I_3_1_1_0_2 -0.0
I_3_1_1_0_3 -0.0
I_3_1_1_1_0 0.0
I_3_1_1_1_1 -0.0
I_3_1_1_1_2 -0.0
I_3_1_1_1_3 -0.0
I_3_1_1_2_0 0.0
I_3_1_1_2_1 -0.0
I_3_1_1_2_2 -0.0
I_3_1_1_2_3 -0.0
I_3_1_2_0_0 0.0
I_3_1_2_0_1 1.0
I_3_1_2_0_2 -0.0
I_3_1_2_0_3 -0.0
I_3_1_2_1_0 0.0
I_3_1_2_1_1 -0.0
I_3_1_2_1_2 -0.0
I_3_1_2_1_3 -0.0
I_3_1_2_2_0 0.0
I_3_1_2_2_1 0.0
I_3_1_2_2_2 -0.0
I_3_1_2_2_3 -0.0
I_3_2_0_0_0 1.0
I_3_2_0_0_1 1.0
I_3_2_0_0_2 -0.0
I_3_2_0_0_3 0.0
I_3_2_0_1_0 0.0
I_3_2_0_1_1 1.0
I_3_2_0_1_2 -0.0
I_3_2_0_1_3 -0.0
I_3_2_0_2_0 -0.0
I_3_2_0_2_1 1.0
I_3_2_0_2_2 -0.0
I_3_2_0_2_3 -0.0
I_3_2_1_0_0 1.0
I_3_2_1_0_1 -0.0
I_3_2_1_0_2 -0.0
I_3_2_1_0_3 -0.0
I_3_2_1_1_0 0.0
I_3_2_1_1_1 -0.0
I_3_2_1_1_2 -0.0
I_3_2_1_1_3 -0.0
I_3_2_1_2_0 -0.0
I_3_2_1_2_1 -0.0
I_3_2_1_2_2 -0.0
I_3_2_1_2_3 -0.0
I_3_2_2_0_0 1.0
I_3_2_2_0_1 -0.0
I_3_2_2_0_2 -0.0
I_3_2_2_0_3 -0.0
I_3_2_2_1_0 0.0
I_3_2_2_1_1 -0.0
I_3_2_2_1_2 -0.0
I_3_2_2_1_3 -0.0
I_3_2_2_2_0 -0.0
I_3_2_2_2_1 -0.0
I_3_2_2_2_2 -0.0
I_3_2_2_2_3 -0.0
I_3_4_0_0_0 1.0
I_3_4_0_0_1 1.0
I_3_4_0_0_2 -0.0
I_3_4_0_0_3 -0.0
I_3_4_0_1_0 -0.0
I_3_4_0_1_1 -0.0
I_3_4_0_1_2 -0.0
I_3_4_0_1_3 -0.0
I_3_4_0_2_0 -0.0
I_3_4_0_2_1 1.0
I_3_4_0_2_2 -0.0
I_3_4_0_2_3 -0.0
I_3_4_1_0_0 1.0
I_3_4_1_0_1 -0.0
I_3_4_1_0_2 -0.0
I_3_4_1_0_3 -0.0
I_3_4_1_1_0 0.0
I_3_4_1_1_1 1.0
I_3_4_1_1_2 -0.0
I_3_4_1_1_3 -0.0
I_3_4_1_2_0 -0.0
I_3_4_1_2_1 -0.0
I_3_4_1_2_2 -0.0
I_3_4_1_2_3 -0.0
I_3_4_2_0_0 1.0
I_3_4_2_0_1 -0.0
I_3_4_2_0_2 -0.0
I_3_4_2_0_3 -0.0
I_3_4_2_1_0 0.0
I_3_4_2_1_1 1.0
I_3_4_2_1_2 -0.0
I_3_4_2_1_3 -0.0
I_3_4_2_2_0 -0.0
I_3_4_2_2_1 -0.0
I_3_4_2_2_2 -0.0
I_3_4_2_2_3 -0.0
I_3_5_0_0_0 0.0
I_3_5_0_0_1 -0.0
I_3_5_0_0_2 -0.0
I_3_5_0_0_3 -0.0
I_3_5_0_1_0 0.0
I_3_5_0_1_1 1.0
I_3_5_0_1_2 -0.0
I_3_5_0_1_3 -0.0
I_3_5_0_2_0 0.0
I_3_5_0_2_1 1.0
I_3_5_0_2_2 -0.0
I_3_5_0_2_3 -0.0
I_3_5_1_0_0 0.0
I_3_5_1_0_1 1.0
I_3_5_1_0_2 -0.0
I_3_5_1_0_3 -0.0
I_3_5_1_1_0 0.0
I_3_5_1_1_1 -0.0
I_3_5_1_1_2 -0.0
I_3_5_1_1_3 -0.0
I_3_5_1_2_0 0.0
I_3_5_1_2_1 -0.0
I_3_5_1_2_2 -0.0
I_3_5_1_2_3 -0.0
I_3_5_2_0_0 0.0
I_3_5_2_0_1 1.0
I_3_5_2_0_2 -0.0
I_3_5_2_0_3 -0.0
I_3_5_2_1_0 0.0
I_3_5_2_1_1 -0.0
I_3_5_2_1_2 -0.0
I_3_5_2_1_3 -0.0
I_3_5_2_2_0 0.0
I_3_5_2_2_1 -0.0
I_3_5_2_2_2 -0.0
I_3_5_2_2_3 -0.0
I_4_0_0_0_0 -0.0
I_4_0_0_0_1 -0.0
I_4_0_0_0_2 -0.0
I_4_0_0_0_3 -0.0
I_4_0_0_1_0 1.0
I_4_0_0_1_1 -0.0
I_4_0_0_1_2 -0.0
I_4_0_0_1_3 -0.0
I_4_0_0_2_0 1.0
I_4_0_0_2_1 -0.0
I_4_0_0_2_2 -0.0
I_4_0_0_2_3 -0.0
I_4_0_1_0_0 1.0
I_4_0_1_0_1 1.0
I_4_0_1_0_2 -0.0
I_4_0_1_0_3 -0.0
I_4_0_1_1_0 0.0
I_4_0_1_1_1 1.0
I_4_0_1_1_2 -0.0
I_4_0_1_1_3 -0.0
I_4_0_1_2_0 0.0
I_4_0_1_2_1 1.0
I_4_0_1_2_2 -0.0
I_4_0_1_2_3 -0.0
I_4_0_2_0_0 1.0
I_4_0_2_0_1 -0.0
I_4_0_2_0_2 -0.0
I_4_0_2_0_3 -0.0
I_4_0_2_1_0 -0.0
I_4_0_2_1_1 -0.0
I_4_0_2_1_2 -0.0
I_4_0_2_1_3 -0.0
I_4_0_2_2_0 -0.0
I_4_0_2_2_1 -0.0
I_4_0_2_2_2 -0.0
I_4_0_2_2_3 -0.0
I_4_1_0_0_0 1.0
I_4_1_0_0_1 1.0
I_4_1_0_0_2 -0.0
I_4_1_0_0_3 -0.0
I_4_1_0_1_0 1.0
I_4_1_0_1_1 -0.0
I_4_1_0_1_2 -0.0
I_4_1_0_1_3 -0.0
I_4_1_0_2_0 1.0
I_4_1_0_2_1 -0.0
I_4_1_0_2_2 -0.0
I_4_1_0_2_3 -0.0
I_4_1_1_0_0 0.0
I_4_1_1_0_1 -0.0
I_4_1_1_0_2 -0.0
I_4_1_1_0_3 -0.0
I_4_1_1_1_0 0.0
I_4_1_1_1_1 1.0
I_4_1_1_1_2 -0.0
I_4_1_1_1_3 -0.0
I_4_1_1_2_0 0.0
I_4_1_1_2_1 1.0
I_4_1_1_2_2 -0.0
I_4_1_1_2_3 -0.0
I_4_1_2_0_0 -0.0
I_4_1_2_0_1 1.0
I_4_1_2_0_2 -0.0
I_4_1_2_0_3 -0.0
I_4_1_2_1_0 -0.0
I_4_1_2_1_1 -0.0
I_4_1_2_1_2 -0.0
I_4_1_2_1_3 -0.0
I_4_1_2_2_0 -0.0
I_4_1_2_2_1 -0.0
I_4_1_2_2_2 -0.0
I_4_1_2_2_3 -0.0
I_4_2_0_0_0 0.0
I_4_2_0_0_1 -0.0
I_4_2_0_0_2 -0.0
I_4_2_0_0_3 -0.0
I_4_2_0_1_0 1.0
I_4_2_0_1_1 -0.0
I_4_2_0_1_2 -0.0
I_4_2_0_1_3 -0.0
I_4_2_0_2_0 1.0
I_4_2_0_2_1 -0.0
I_4_2_0_2_2 -0.0
I_4_2_0_2_3 -0.0
I_4_2_1_0_0 1.0
I_4_2_1_0_1 1.0
I_4_2_1_0_2 -0.0
I_4_2_1_0_3 -0.0
I_4_2_1_1_0 -0.0
I_4_2_1_1_1 1.0
I_4_2_1_1_2 -0.0
I_4_2_1_1_3 -0.0
I_4_2_1_2_0 -0.0
I_4_2_1_2_1 1.0
I_4_2_1_2_2 -0.0
I_4_2_1_2_3 -0.0
I_4_2_2_0_0 1.0
I_4_2_2_0_1 -0.0
I_4_2_2_0_2 -0.0
I_4_2_2_0_3 -0.0
I_4_2_2_1_0 0.0
I_4_2_2_1_1 -0.0
